date,ens_1m,real_1m,ens_3m,real_3m,ens_6m,real_6m,ens_12m,real_12m
1971-10-31,0.005635,-0.002547,0.022609,0.103046,0.037014,0.142630,0.095122,0.184124
1971-11-30,0.005423,0.086179,0.023109,0.133844,0.038399,0.165337,0.093146,0.241302
1971-12-31,0.007663,0.018121,0.022966,0.050054,0.036580,0.049466,0.088717,0.156333
1972-01-31,0.007547,0.025303,0.018719,0.035886,0.033183,0.033192,0.083824,0.116317
1972-02-29,0.004543,0.005912,0.012637,0.027775,0.029453,0.042413,0.072828,0.047950
1972-03-31,0.004816,0.004384,0.012872,-0.000560,0.030462,0.031250,0.076176,0.040299
1972-04-30,0.004423,0.017275,0.010935,-0.002601,0.024061,0.036315,0.066718,-0.006501
1972-05-31,0.004979,-0.021821,0.013008,0.014243,0.027243,0.065188,0.072418,-0.041815
1972-06-30,0.006317,0.002333,0.017759,0.031828,0.034123,0.101829,0.085367,-0.026881
1972-07-31,0.006126,0.034454,0.016448,0.039017,0.041641,0.080454,0.085477,0.007729
1972-08-31,0.006406,-0.004861,0.015300,0.050230,0.042806,0.005311,0.085565,-0.061572
1972-09-30,0.004871,0.009317,0.011143,0.067843,0.032127,0.008774,0.072508,-0.019177
1972-10-31,0.004650,0.045617,0.009575,0.039882,0.028670,-0.041316,0.062790,-0.029486
1972-11-30,0.004183,0.011828,0.009981,-0.042770,0.030025,-0.100454,0.063210,-0.177509
1972-12-31,0.004046,-0.017111,0.009010,-0.055316,0.025084,-0.116815,0.051515,-0.173655
1973-01-31,0.004107,-0.037490,0.009871,-0.078083,0.023738,-0.067310,0.054141,-0.167715
1973-02-28,0.003897,-0.001433,0.009883,-0.060261,0.023715,-0.066529,0.054785,-0.138431
1973-03-31,0.003973,-0.040800,0.011043,-0.065100,0.027040,-0.027708,0.065826,-0.157281
1973-04-30,0.003256,-0.018884,0.010490,0.011686,0.026850,0.012340,0.067294,-0.155745
1973-05-31,0.004637,-0.006575,0.010708,-0.006670,0.027583,-0.085660,0.070805,-0.168366
1973-06-30,0.004938,0.037982,0.012495,0.039996,0.029907,-0.064358,0.075885,-0.175139
1973-07-31,0.005380,-0.036685,0.000046,0.000647,0.021716,-0.107651,0.065639,-0.267141
1973-08-31,0.003132,0.040096,-0.008360,-0.079520,0.014150,-0.077026,0.059062,-0.307914
1973-09-30,0.004197,-0.001291,-0.010727,-0.100341,0.012945,-0.133266,0.055262,-0.414000
1973-10-31,0.003473,-0.113861,-0.011936,-0.108228,0.009979,-0.166036,0.052091,-0.317573
1973-11-30,0.004723,0.016569,-0.004717,0.002709,0.015262,-0.090454,0.055388,-0.270842
1973-12-31,0.004994,-0.010046,-0.006089,-0.036597,0.017439,-0.118401,0.060045,-0.297181
1974-01-31,0.005031,-0.003624,0.009613,-0.064823,0.018354,-0.178730,0.075147,-0.202858
1974-02-28,0.004850,-0.023280,0.009729,-0.092912,0.020723,-0.250156,0.072462,-0.152047
1974-03-31,0.004552,-0.039051,0.011507,-0.084912,0.022009,-0.323899,0.072718,-0.113003
1974-04-30,0.004644,-0.033551,0.010754,-0.121803,0.022049,-0.181707,0.070477,-0.033330
1974-05-31,0.004219,-0.014665,0.010259,-0.173350,0.023079,-0.198327,0.077033,0.044340
1974-06-30,0.004487,-0.077791,0.012586,-0.261163,0.020290,-0.202791,0.081013,0.106860
1974-07-31,0.002182,-0.090279,0.009745,-0.068213,0.027089,-0.029378,0.078912,0.119027
1974-08-31,0.003344,-0.119335,0.013450,-0.030215,0.034323,0.130838,0.097799,0.204158
1974-09-30,0.001598,0.163047,0.007961,0.079005,0.030732,0.311929,0.100694,0.319956
1974-10-31,0.004116,-0.053180,0.013149,0.041678,0.044698,0.181326,0.134991,0.204871
1974-11-30,0.005089,-0.020152,0.015843,0.166071,0.041910,0.302701,0.124168,0.303987
1974-12-31,0.004492,0.122812,0.026268,0.215869,0.053201,0.388419,0.139165,0.315490
1975-01-31,0.007020,0.059886,0.018847,0.134061,0.089445,0.152897,0.165229,0.310210
1975-02-28,0.012883,0.021694,0.028984,0.117171,0.095056,0.064836,0.173652,0.222086
1975-03-31,0.017038,0.047265,0.033980,0.141915,0.097197,0.006118,0.162242,0.232845
1975-04-30,0.023801,0.044101,0.039219,0.016609,0.094735,0.019931,0.167064,0.164261
1975-05-31,0.027190,0.044323,0.043901,-0.046846,0.096830,0.000987,0.168888,0.099067
1975-06-30,0.025981,-0.067654,0.039995,-0.118920,0.092717,-0.052527,0.161464,0.095493
1975-07-31,0.007763,-0.021070,0.026558,0.003268,0.094372,0.136451,0.158476,0.165521
1975-08-31,0.006237,-0.034645,0.022258,0.050184,0.089591,0.147675,0.155257,0.184507
1975-09-30,0.007017,0.061643,0.023505,0.075355,0.092110,0.225349,0.156145,0.254799
1975-10-31,0.006215,0.024708,0.024025,0.132749,0.090858,0.141509,0.158869,0.155660
1975-11-30,0.007387,-0.011508,0.021695,0.092832,0.072518,0.097983,0.132062,0.119027
1975-12-31,0.007697,0.118306,0.023246,0.139483,0.063738,0.156226,0.119595,0.191485
1976-01-31,0.008417,-0.011402,0.018836,0.007733,0.037753,0.025580,0.099325,0.011600
1976-02-29,0.006751,0.030689,0.016804,0.004714,0.031495,0.032093,0.086362,0.001103
1976-03-31,0.006590,-0.010995,0.017740,0.014693,0.032846,0.024034,0.082750,-0.042328
1976-04-30,0.008355,-0.014364,0.021209,0.017710,0.037279,0.012397,0.089184,-0.031484
1976-05-31,0.008073,0.040926,0.022501,0.027251,0.037720,0.019165,0.091723,-0.040527
1976-06-30,0.006641,-0.008055,0.018022,0.009206,0.033347,0.030495,0.082245,-0.036440
1976-07-31,0.005974,-0.005124,0.018374,-0.005220,0.033002,-0.013631,0.074621,-0.044374
1976-08-31,0.006764,0.022641,0.021088,-0.007871,0.040215,-0.030026,0.089188,-0.059664
1976-09-30,0.006261,-0.022235,0.020767,0.021095,0.040032,-0.064804,0.089692,-0.082763
1976-10-31,0.005904,-0.007775,0.020594,-0.008455,0.038755,-0.043343,0.089046,-0.102624
1976-11-30,0.006564,0.052498,0.020144,-0.022331,0.039976,-0.058570,0.092082,-0.071205
1976-12-31,0.005845,-0.050530,0.021433,-0.084124,0.038935,-0.064954,0.098794,-0.115020
1977-01-31,0.006119,-0.021660,0.021208,-0.035186,0.041859,-0.031167,0.098488,-0.125257
1977-02-28,0.005191,-0.014025,0.019795,-0.037067,0.041319,-0.030555,0.095087,-0.128030
1977-03-31,0.005561,0.000203,0.019736,0.020931,0.040888,-0.019203,0.094685,-0.093579
1977-04-30,0.005447,-0.023568,0.017362,0.004165,0.036486,-0.061967,0.088889,-0.016355
1977-05-31,0.005298,0.045360,0.017321,0.006762,0.036247,-0.013421,0.090325,0.011652
1977-06-30,0.005053,-0.016222,0.019695,-0.039311,0.042388,-0.053543,0.096279,-0.049264
1977-07-31,0.004728,-0.021042,0.017051,-0.065857,0.035963,-0.097117,0.090528,0.018513
1977-08-31,0.004585,-0.002480,0.017185,-0.020047,0.034981,-0.100548,0.086450,0.067376
1977-09-30,0.004917,-0.043406,0.016460,-0.014814,0.034313,-0.075831,0.085618,0.062260
1977-10-31,0.004612,0.026966,0.014374,-0.033463,0.029111,0.048625,0.074722,0.008772
1977-11-30,0.004423,0.002847,0.015136,-0.082147,0.033058,0.025414,0.075986,-0.001371
1977-12-31,0.004330,-0.061514,0.013952,-0.061935,0.029699,0.004522,0.072448,0.010620
1978-01-31,0.002404,-0.024762,0.013294,0.084930,0.027873,0.128067,0.064203,0.119664
1978-02-28,0.003283,0.024931,0.016570,0.117187,0.030584,0.186696,0.066851,0.106158
1978-03-31,0.002963,0.085416,0.016004,0.070844,0.030885,0.149423,0.070977,0.138774
1978-04-30,0.003765,0.004234,0.015352,0.039760,0.031949,-0.038005,0.072927,0.050914
1978-05-31,0.004561,-0.017585,0.015194,0.062217,0.030222,-0.026121,0.066286,0.018922
1978-06-30,0.004335,0.053910,0.015054,0.073380,0.031405,0.006071,0.062583,0.077253
1978-07-31,0.004479,0.025924,0.014621,-0.074791,0.031738,-0.007449,0.060770,0.031089
1978-08-31,0.004782,-0.007261,0.015139,-0.083164,0.032036,-0.067867,0.060347,0.058379
1978-09-30,0.003544,-0.091574,0.010286,-0.062707,0.018556,-0.009265,0.046766,0.066121
1978-10-31,0.002576,0.016640,0.007720,0.072786,0.017097,0.092432,0.042891,0.093076
1978-11-30,0.002595,0.014889,0.010887,0.016684,0.030278,0.046251,0.057701,0.121014
1978-12-31,0.002189,0.039746,0.010902,0.057018,0.029200,0.070752,0.063480,0.123088
1979-01-31,0.002369,-0.036526,0.008973,0.018313,0.027675,0.038827,0.068423,0.142400
1979-02-28,0.002681,0.055152,0.007827,0.029082,0.021516,0.135438,0.054472,0.180515
1979-03-31,0.002592,0.001673,0.007985,0.012993,0.022881,0.076090,0.068254,0.004922
1979-04-30,0.003274,-0.026336,0.008887,0.020145,0.023944,0.000590,0.060948,0.044516
1979-05-31,0.002837,0.038656,0.010526,0.103351,0.027886,0.071457,0.068809,0.122729
1979-06-30,0.002728,0.008745,0.006285,0.062287,0.018020,0.048878,0.056222,0.110096
1979-07-31,0.003808,0.053078,0.008484,-0.019170,0.017775,0.099701,0.051024,0.172045
1979-08-31,0.003764,0.000000,0.007635,-0.028906,0.015826,0.039700,0.053742,0.119466
1979-09-30,0.003366,-0.068606,0.013338,-0.012623,0.024092,-0.066136,0.070954,0.147640
1979-10-31,0.003033,0.042624,0.016747,0.121194,0.027273,0.043901,0.073594,0.251915
1979-11-30,0.004688,0.016767,0.026143,0.070648,0.053638,0.047852,0.104285,0.323662
1979-12-31,0.004104,0.057625,0.021490,-0.054197,0.034573,0.058366,0.085547,0.257736
1980-01-31,0.004913,-0.004380,0.025370,-0.068938,0.036532,0.065785,0.090040,0.134811
1980-02-29,0.007442,-0.101795,0.035624,-0.021292,0.045191,0.076720,0.118842,0.154936
1980-03-31,0.014919,0.041140,0.047709,0.119013,0.059387,0.228916,0.139700,0.332158
1980-04-30,0.016120,0.046571,0.043275,0.144698,0.074186,0.199266,0.147928,0.249506
1980-05-31,0.004683,0.026969,0.014593,0.100144,0.040999,0.263215,0.100134,0.191927
1980-06-30,0.008172,0.065039,0.027387,0.098214,0.053667,0.188375,0.099935,0.148547
1980-07-31,0.009503,0.005835,0.033157,0.047670,0.050761,0.064765,0.115224,0.076025
1980-08-31,0.008345,0.025168,0.027222,0.148227,0.054658,0.072643,0.087978,0.003350
1980-09-30,0.006338,0.016021,0.023245,0.082098,0.056873,0.084011,0.087172,-0.073968
1980-10-31,0.005681,0.102377,0.018900,0.016318,0.056638,0.041892,0.085909,-0.043775
1980-11-30,0.005385,-0.033874,0.017388,-0.065827,0.053738,-0.056433,0.081365,-0.100840
1980-12-31,0.009315,-0.045742,0.023862,0.001768,0.059903,-0.033515,0.082649,-0.097304
1981-01-31,0.003406,0.013277,0.030757,0.025164,0.042686,0.010575,0.114331,-0.070629
1981-02-28,0.003608,0.036033,0.023278,0.010056,0.044416,-0.064600,0.105252,-0.138341
1981-03-31,0.004491,-0.023456,0.023487,-0.035221,0.047488,-0.145735,0.102248,-0.176765
1981-04-30,0.003846,-0.001657,0.014307,-0.014231,0.032296,-0.082223,0.091915,-0.123259
1981-05-31,0.005477,-0.010408,0.026126,-0.073912,0.043732,-0.047062,0.125737,-0.156196
1981-06-30,0.004814,-0.002210,0.022956,-0.114549,0.034091,-0.066001,0.122284,-0.164622
1981-07-31,0.003798,-0.062099,0.005019,-0.068973,0.016986,-0.080354,0.074775,-0.182020
1981-08-31,0.004109,-0.053832,0.009444,0.028993,0.025312,-0.078834,0.086051,-0.026712
1981-09-30,0.005035,0.049148,0.019284,0.054829,0.049083,-0.036323,0.104912,0.036495
1981-10-31,0.006284,0.036590,0.016124,-0.012224,0.059465,-0.044712,0.112680,0.097055
1981-11-30,0.006187,-0.030075,0.020420,-0.104788,0.041371,-0.114523,0.088454,0.096399
1981-12-31,0.007289,-0.017544,0.024925,-0.086414,0.045127,-0.105590,0.099026,0.147613
1982-01-31,0.006886,-0.060548,0.023349,-0.032890,0.041115,-0.110548,0.093213,0.206811
1982-02-28,0.006144,-0.010167,0.022462,-0.010874,0.041383,0.056582,0.092013,0.308991
1982-03-31,0.005449,0.040014,0.020009,-0.020990,0.039329,0.075563,0.094908,0.366202
1982-04-30,0.007591,-0.039162,0.024076,-0.080299,0.046766,0.148403,0.108293,0.412144
1982-05-31,0.008032,-0.020290,0.026449,0.068198,0.047165,0.238202,0.098712,0.451466
1982-06-30,0.008159,-0.022991,0.026624,0.098622,0.048810,0.283095,0.106274,0.529422
1982-07-31,0.006297,0.115977,0.024766,0.248669,0.051338,0.356803,0.108990,0.517976
1982-08-31,0.008209,0.007614,0.029143,0.159150,0.059199,0.238892,0.127776,0.375617
1982-09-30,0.008496,0.110447,0.032029,0.167912,0.058300,0.270221,0.155086,0.379090
1982-10-31,0.008755,0.035971,0.031462,0.086599,0.058264,0.229659,0.153348,0.223078
1982-11-30,0.009044,0.015231,0.031362,0.068794,0.055266,0.172237,0.125338,0.201184
1982-12-31,0.007931,0.033134,0.027608,0.087600,0.048416,0.191980,0.100280,0.172710
1983-01-31,0.007989,0.018995,0.029279,0.131659,0.055253,0.118789,0.103596,0.124639
1983-02-28,0.009173,0.033095,0.025212,0.096785,0.051278,0.110361,0.093591,0.060786
1983-03-31,0.007316,0.074987,0.024135,0.095973,0.046416,0.085709,0.091473,0.040664
1983-04-30,0.007591,-0.012406,0.021509,-0.011373,0.044829,-0.005352,0.087511,-0.026637
1983-05-31,0.007456,0.032330,0.021412,0.012378,0.041058,0.024694,0.085039,-0.072911
1983-06-30,0.006483,-0.030303,0.019492,-0.009365,0.040541,-0.016166,0.076874,-0.086256
1983-07-31,0.006554,0.011319,0.020636,0.006090,0.043668,0.005229,0.083943,-0.073204
1983-08-31,0.005308,0.010158,0.016215,0.012165,0.032669,-0.044647,0.068593,0.013869
1983-09-30,0.004730,-0.015174,0.015452,-0.006865,0.031615,-0.041489,0.062589,0.000181
1983-10-31,0.003431,0.017426,0.012353,-0.000856,0.025189,-0.021400,0.050621,0.015530
1983-11-30,0.004152,-0.008834,0.012808,-0.056130,0.027138,-0.095252,0.053500,-0.016947
1983-12-31,0.003599,-0.009216,0.011215,-0.034863,0.024311,-0.071242,0.049968,0.014006
1984-01-31,0.003439,-0.038859,0.010447,-0.020562,0.024355,-0.078025,0.053354,0.099260
1984-02-29,0.002936,0.013498,0.009271,-0.041449,0.021026,0.061250,0.048326,0.153572
1984-03-31,0.003455,0.005466,0.009928,-0.037693,0.023166,0.043473,0.050882,0.134942
1984-04-30,0.003390,-0.059356,0.010029,-0.058669,0.023607,0.037738,0.054198,0.123586
1984-05-31,0.003557,0.017469,0.009929,0.107140,0.024452,0.086549,0.056076,0.259050
1984-06-30,0.004729,-0.016451,0.011404,0.084345,0.024851,0.091788,0.056730,0.252448
1984-07-31,0.003598,0.106332,0.010385,0.102416,0.027013,0.192287,0.057583,0.267224
1984-08-31,0.003255,-0.003480,0.010069,-0.018598,0.023203,0.086993,0.059516,0.131690
1984-09-30,0.003252,-0.000060,0.009404,0.006863,0.018353,0.087658,0.043153,0.096207
1984-10-31,0.003111,-0.015112,0.009048,0.081522,0.017597,0.082726,0.042572,0.142874
1984-11-30,0.003223,0.022374,0.009748,0.107593,0.019787,0.158760,0.044984,0.235909
1984-12-31,0.003113,0.074085,0.010149,0.080244,0.021252,0.147154,0.049046,0.263334
1985-01-31,0.004476,0.008629,0.011990,0.001113,0.024788,0.062851,0.050156,0.178979
1985-02-28,0.004752,-0.002870,0.013775,0.046197,0.024680,0.041119,0.050570,0.252456
1985-03-31,0.005310,-0.004594,0.014906,0.061940,0.029053,0.007860,0.055469,0.322373
1985-04-30,0.004911,0.054051,0.014607,0.061669,0.024405,0.055552,0.050353,0.309681
1985-05-31,0.004801,0.012134,0.014790,-0.004854,0.025525,0.066579,0.051591,0.304933
1985-06-30,0.006425,-0.004848,0.019317,-0.050925,0.032561,0.101277,0.058855,0.307480
1985-07-31,0.006554,-0.011995,0.020215,-0.005762,0.035553,0.109260,0.062508,0.236748
1985-08-31,0.006415,-0.034724,0.020111,0.071781,0.031291,0.202990,0.061861,0.340879
1985-09-30,0.006323,0.042509,0.018302,0.160369,0.030675,0.312061,0.059946,0.270431
1985-10-31,0.005624,0.065062,0.017520,0.115688,0.030884,0.240754,0.061208,0.285323
1985-11-30,0.005147,0.045061,0.016195,0.122422,0.027184,0.223475,0.057694,0.232725
1985-12-31,0.006327,0.002367,0.019284,0.130727,0.028802,0.187240,0.056947,0.146204
1986-01-31,0.006634,0.071489,0.019522,0.112097,0.030731,0.114931,0.055010,0.294173
1986-02-28,0.006094,0.052794,0.018880,0.090032,0.029186,0.114622,0.056598,0.252424
1986-03-31,0.007082,-0.014148,0.022115,0.049979,0.034781,-0.031729,0.054175,0.221013
1986-04-30,0.007464,0.050229,0.023405,0.002548,0.035272,0.035920,0.051412,0.224355
1986-05-31,0.007194,0.014110,0.022778,0.022559,0.036610,0.007560,0.055397,0.172832
1986-06-30,0.007027,-0.058683,0.021929,-0.077818,0.032758,-0.034564,0.058767,0.211928
1986-07-31,0.006539,0.071193,0.022211,0.033288,0.036075,0.160766,0.064259,0.349568
